cas_number,inchi_key,models,name,pair_id,procurement_verified,smiles
2234-20-0,OEVVKKAVYQFQNV-UHFFFAOYSA-N,"[""unifac_dortmund""]","2,4-dimethylstyrene",water-OEVVKKAVYQFQNV-UHFFFAOYSA-N,False,C=Cc1ccc(C)cc1C
2234-75-5,VCJPCEVERINRSG-UHFFFAOYSA-N,"[""unifac_dortmund""]","1,2,4-trimethylcyclohexane",water-VCJPCEVERINRSG-UHFFFAOYSA-N,False,CC1CCC(C)C(C)C1
22348-95-4,YKLCWZMIZHQGFV-UHFFFAOYSA-N,"[""unifac_dortmund""]",methyl 3-oxooctanoate,water-YKLCWZMIZHQGFV-UHFFFAOYSA-N,False,CCCCCC(=O)CC(=O)OC
2235-12-3,AFVDZBIIBXWASR-AATRIKPKSA-N,"[""unifac_dortmund""]",divinylethylene,water-AFVDZBIIBXWASR-AATRIKPKSA-N,False,C=C/C=C/C=C
2236-11-5,IAJQZEQYGUQTQS-UHFFFAOYSA-N,"[""unifac_dortmund""]",methyl 2-hydroxycyclohexanecarboxylate,water-IAJQZEQYGUQTQS-UHFFFAOYSA-N,False,COC(=O)C1CCCCC1O
22370-55-4,AQLBDEAOQUJAIE-UHFFFAOYSA-N,"[""unifac_dortmund""]",10-methyl-1-undecene,water-AQLBDEAOQUJAIE-UHFFFAOYSA-N,False,C=CCCCCCCCC(C)C
22381-86-8,CTPCMVYYXSEEPM-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-undecen-4-ol,water-CTPCMVYYXSEEPM-UHFFFAOYSA-N,False,CC=CC(O)CCCCCCC
22414-24-0,ODARVONGEVVSAG-UHFFFAOYSA-N,"[""unifac_dortmund""]","2,5-dimethoxy-2-methyl-2,5-dihydrofuran",water-ODARVONGEVVSAG-UHFFFAOYSA-N,False,COC1C=CC(C)(OC)O1
22414-68-2,PVDIIWUJHVIZTK-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-methyleneundecanal,water-PVDIIWUJHVIZTK-UHFFFAOYSA-N,False,C=C(C=O)CCCCCCCCC
22417-45-4,FXXCTCCAZGTNNO-UHFFFAOYSA-N,"[""unifac_dortmund""]",4-methyl-2-isobutyl-1-pentanol,water-FXXCTCCAZGTNNO-UHFFFAOYSA-N,False,CC(C)CC(CO)CC(C)C
22418-49-1,IFUHHVOEHBXDPB-UHFFFAOYSA-N,"[""unifac_dortmund""]","ether, methyl 2-methylallyl",water-IFUHHVOEHBXDPB-UHFFFAOYSA-N,False,C=C(C)COC
2243-33-6,OGLDWXZKYODSOB-JTQLQIEISA-N,"[""unifac_dortmund""]",(s)-(+)-alpha-phellandrene,water-OGLDWXZKYODSOB-JTQLQIEISA-N,False,CC1=CC[C@@H](C(C)C)C=C1
2244-02-2,JOHIXGUTSXXADV-UHFFFAOYSA-N,"[""unifac_dortmund""]",undec-2-ene,water-JOHIXGUTSXXADV-UHFFFAOYSA-N,False,CC=CCCCCCCCC
2244-85-1,MNIXGQSLDFHHHN-UHFFFAOYSA-N,"[""unifac_dortmund""]","4-hexyl-1,3-dioxane",water-MNIXGQSLDFHHHN-UHFFFAOYSA-N,False,CCCCCCC1CCOCO1
22451-48-5,GMYHXOPIKMGWOM-UHFFFAOYSA-N,"[""unifac_dortmund""]",trans-shisool,water-GMYHXOPIKMGWOM-UHFFFAOYSA-N,False,C=C(C)C1CCC(CO)CC1
22460-59-9,TYASLDPXCAROPT-UHFFFAOYSA-N,"[""unifac_dortmund""]","1,7-octadien-3-ol, 2,6-dimethyl-",water-TYASLDPXCAROPT-UHFFFAOYSA-N,False,C=CC(C)CCC(O)C(=C)C
22461-89-8,IEVRHAUJJJBXFH-UHFFFAOYSA-N,"[""unifac_dortmund""]",3-ethylcyclohexanone,water-IEVRHAUJJJBXFH-UHFFFAOYSA-N,False,CCC1CCCC(=O)C1
