chemsep_nrtl_endpoint_error,chemsep_nrtl_liquid_phase_count,chemsep_nrtl_ratio,chemsep_nrtl_status,chemsep_nrtl_vapor_mole_fraction,heat_reduction_required_for_mass_parity,mass_fraction,mass_ratio_equal_net_heat,minimum_ratio,model_spread,pair_id,paired_eligible,pressure_pa,temperature_k,unifac_dortmund_endpoint_error,unifac_dortmund_liquid_phase_count,unifac_dortmund_ratio,unifac_dortmund_status,unifac_dortmund_vapor_mole_fraction
0.05626208582771852,1,0.9085109732804819,ok,0.0,,0.145333333333,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,101325.0,362.5,0.05626208582771852,1,0.9104392000942354,ok,0.0
0.005780814713935989,0,0.8810762580636462,ok,1.0,0.1189237419363538,0.145333333333,1.1349755379831867,0.8810762580636462,0.004123943681897169,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,101325.0,375.0,0.005780814713935989,0,0.8852002017455434,ok,1.0
0.06595606384827224,0,7.179850679219887,ok,1.0,,0.145333333333,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,110314.038831,375.0,0.06595606384827224,0,7.213456510241378,ok,1.0
0.06595088936195792,1,0.9097514086590265,ok,0.0,,0.145333333333,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,120100.539483,375.0,0.06595088936195792,1,1.8152561400232545,ok,0.14463476700416036
0.06593912345370401,1,0.9097514086590265,ok,0.0,,0.145333333333,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,142355.189579,375.0,0.06593912345370401,1,0.911285110269426,ok,0.0
0.06590865312105298,1,0.9097514086590265,ok,0.0,,0.145333333333,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,200000.0,375.0,0.06590865312105298,1,0.911285110269426,ok,0.0
0.07654222847206649,1,0.9110494007862439,ok,0.0,,0.145333333333,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,200000.0,387.5,0.07654222847206649,1,0.9121601505922919,ok,0.0
0.004356199754141699,0,0.8824775048461808,ok,1.0,0.11752249515381918,0.145333333333,1.1331733608034618,0.8824775048461808,0.004050392136990877,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,101325.0,400.0,0.004356199754141699,0,0.8865278969831717,ok,1.0
0.008105095449862487,0,0.8824775048461808,ok,1.0,0.11752249515381918,0.145333333333,1.1331733608034618,0.8824775048461808,0.004050392136990877,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,200000.0,400.0,0.008105095449862487,0,0.8865278969831717,ok,1.0
0.002871306568927867,0,0.8854708078682114,ok,1.0,0.11452919213178858,0.145333333333,1.1293427079855065,0.8854708078682114,0.003909600515243694,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,101325.0,450.0,0.002871306568927867,0,0.8893804083834551,ok,1.0
0.004983500929861329,0,0.8854708078682114,ok,1.0,0.11452919213178858,0.145333333333,1.1293427079855065,0.8854708078682114,0.003909600515243694,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,200000.0,450.0,0.004983500929861329,0,0.8893804083834551,ok,1.0
0.06595088936195792,1,0.9213298009824246,ok,0.0028945518633682024,,0.155,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,120100.539483,375.0,0.06595088936195792,1,1.96720873327953,ok,0.1713842490242579
0.04753384477263267,1,0.8950131557457319,ok,0.0,0.10498684425426807,0.164666666667,1.1173020123562232,0.8950131557457319,0.002689495149730603,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,101325.0,350.0,0.04753384477263267,1,0.8977026508954625,ok,0.0
0.04747923920572206,1,0.8950131557457319,ok,0.0,0.10498684425426807,0.164666666667,1.1173020123562232,0.8950131557457319,0.002689495149730603,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,200000.0,350.0,0.04747923920572206,1,0.8977026508954625,ok,0.0
0.05626208582771852,1,0.8963524234835271,ok,0.0,,0.164666666667,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,101325.0,362.5,0.05626208582771852,1,0.8986361772122482,ok,0.0
0.005780814713935989,0,0.8652786834208653,ok,1.0,0.13472131657913466,0.164666666667,1.1556970247394933,0.8652786834208653,0.004620776338332022,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,101325.0,375.0,0.005780814713935989,0,0.8698994597591974,ok,1.0
0.06595606384827224,0,7.051116956127324,ok,1.0,,0.164666666667,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,110314.038831,375.0,0.06595606384827224,0,7.088771454052633,ok,1.0
0.06595088936195792,1,1.0834586784212517,ok,0.030852775766414178,,0.164666666667,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,120100.539483,375.0,0.06595088936195792,1,2.1191457106371856,ok,0.19860716004276216
0.06593912345370401,1,0.8977573848808416,ok,0.0,,0.164666666667,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,142355.189579,375.0,0.06593912345370401,1,0.8996027634856529,ok,0.0
0.06590865312105298,1,0.8977573848808416,ok,0.0,,0.164666666667,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,200000.0,375.0,0.06590865312105298,1,0.8996027634856529,ok,0.0
0.07654222847206649,1,0.8992276098826085,ok,0.0,,0.164666666667,,,,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,False,200000.0,387.5,0.07654222847206649,1,0.9006037466817635,ok,0.0
0.004356199754141699,0,0.8668659322971706,ok,1.0,0.13313406770282943,0.164666666667,1.1535809203506566,0.8668659322971706,0.004538363661397815,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,101325.0,400.0,0.004356199754141699,0,0.8714042959585684,ok,1.0
0.008105095449862487,0,0.8668659322971706,ok,1.0,0.13313406770282943,0.164666666667,1.1535809203506566,0.8668659322971706,0.004538363661397815,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,200000.0,400.0,0.008105095449862487,0,0.8714042959585684,ok,1.0
0.002871306568927867,0,0.8702566569371218,ok,1.0,0.12974334306287816,0.164666666667,1.1490862977360166,0.8702566569371218,0.004380610150538589,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,101325.0,450.0,0.002871306568927867,0,0.8746372670876604,ok,1.0
0.004983500929861329,0,0.8702566569371218,ok,1.0,0.12974334306287816,0.164666666667,1.1490862977360166,0.8702566569371218,0.004380610150538589,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,200000.0,450.0,0.004983500929861329,0,0.8746372670876604,ok,1.0
0.04753384477263267,1,0.8827007283778708,ok,0.0,0.11729927162212916,0.184,1.1328867960012774,0.8827007283778708,0.003108236323703051,water-RYHBNJHYFVUHQT-UHFFFAOYSA-N,True,101325.0,350.0,0.04753384477263267,1,0.8858089647015739,ok,0.0
