comparison_allowed,context_id,endpoint_relative_error,error,heos_delta_h_j_kg,model_delta_h_j_kg,pressure_pa,status,task_key,temperature_k
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.058072155709885,,300820.54855550756,283351.2508190591,200000.0,ok,6fb602080f0fca05a407573554282c9219918f91cefecbab9eb51ea48d75ae11,365.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.060991954935277204,,316620.70274636056,297309.3871128787,101325.0,ok,f8a1f11d66cdb79274297dc5801fa7f9949caa1b44f44f0d03377378f3ac691c,368.75
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.06196675644474858,,321885.03975560144,301938.8678938579,101325.0,ok,a8c2784307ed9079f8a0bd88af64e7405a5de7b1b3bd699a0b2bc0e45cf46b83,370.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.061956763700660944,,321881.61079337087,301938.8678938579,120100.539483,ok,77a856459c8c46bf5ed173f300a8a8b53db0c7247fe1bf7d14ded86e0b03b365,370.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.06194492052680145,,321877.54695963423,301938.8678938579,142355.189579,ok,e2a9557ebd37fa51c46db6e39f52f5176626554017cc18b5c68cd2755bb6a53a,370.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.06193088453719531,,321872.7308220713,301938.8678938579,168733.630067,ok,4fcade6e03a9d360076613be5974caf24deb42adc505f12d985638ad02f1fda8,370.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.06191425009909679,,321867.02327133087,301938.8678938579,200000.0,ok,9d330517e293537923a7225009b7e56270d296c6f906fbf40ed41dcc3d02ed9b,370.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.005780814713935989,,2595415.351888378,2610418.96714335,101325.0,ok,bb364d985e7709fad05429580c43df1a38e258e32bcbe2412158e4e65f3292ce,375.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.06595606384827224,,342958.0470626882,320337.8842133428,110314.038831,ok,d58ca90eecffb14cb798c76363e342922c13cc93cee538696be523eef2c95805,375.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.06595088936195792,,342956.1471286262,320337.8842133428,120100.539483,ok,40b95ffe6759829f47a1ac0f7cfc35058893ac7b4fdf8bfc9c0898e6fe33dcfd,375.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.06593912345370401,,342951.8270776921,320337.8842133428,142355.189579,ok,d6a5fa533a13a7bb6792586f5d487e6a27c97ee1202c3f883a0a4240577cd1c1,375.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.06592517903543749,,342946.7072911239,320337.8842133428,168733.630067,ok,1fafaae4cf727fa8f879dcc7b665aedc904871dda5003dd7c919502c239db20c,375.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.06592517903500661,,342946.7072909657,320337.8842133428,168733.630068,ok,bcebb32950ae754a6585808370478e28df968a8df27706c9a716523bfbfc4ef3,375.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.06590865312105298,,342940.6398888917,320337.8842133428,200000.0,ok,3635743981fd9ddfac4cc048b5cf4042487a0981f2304c0922889322b676fc51,375.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.005431189077855114,,2605725.0710023204,2619877.2565478412,101325.0,ok,63af5b430f1fa212a6e49871e4d3362aebb60c6ec823a6bcd510e4f3f2276650,380.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.006350327995912286,,2603345.1608896214,2619877.2565478412,120100.539483,ok,a6483bb2a688148f7bbd44a73015f00a7d8d9339394fd671bd56f012fd3ef6a0,380.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.07008297304584976,,364056.096680719,338541.9630698669,142355.189579,ok,4b275e49628ca58a8503f5d9e509d962b27b70a5debe659b11dd504110fb20e4,380.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.07006910286633239,,364050.6666821772,338541.9630698669,168733.630067,ok,741214351c6908e70d3b38065ab612e08610be5971b935ed058a182f763a5bab,380.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.07005266493821449,,364044.2316525099,338541.9630698669,200000.0,ok,d9ff4b4fdaeaad1a2723a49dcb67387ca71d650e15621b652d11d5a5b15e2494,380.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.005119690782952269,,2615953.589417369,2629346.4628977403,101325.0,ok,4f72619f3a31f36b1cbe33f86163a34d4ca7afe07dcd9d797963064c26cab35a,385.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.00596895880092041,,2613745.1259249873,2629346.4628977403,120100.539483,ok,4bd4bd815341bf01e3b35da42f76e9901a847f4e89a93d5b19a263ed566cdb01,385.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.0070032768632017905,,2611060.4834257443,2629346.4628977403,142355.189579,ok,9a5302417ee061351757571f1a35f8ab7a1be932dfc826de1d1f64436ee56db5,385.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.07435951713840816,,385187.6192875592,356545.2539096433,168733.630067,ok,5312215ff6f6697ce79a80a7734c0723aa0677b502897501f9bd851230d106c1,385.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.07434314750627002,,385180.8074980554,356545.2539096433,200000.0,ok,991a20e335636ee8d021dbf3ad2d5d155e7160e537c5f66a7839aa056446ad68,385.0
False,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.07654222847206649,,395762.45354892453,365469.91340871714,200000.0,ok,9e9104ebe65e989579b927b4db5e143a7a8aad40a9bdf01ec3fd78b9c06891a4,387.5
