additive_mass_fraction,cas_number,comparison_eligible,failure_counts,maximum_model_spread_delta_h_ratio,maximum_storage_bubble_pressure_ratio,minimum_paired_delta_h_ratio,name,outlet_temperature_k,pair_id,pareto_with_water,pressure_pa,required_net_heat_reduction_for_mass_parity,water_dominated_thermodynamic
0.164666666667,111-46-6,True,{},0.00737200036103125,0.9745869305720796,0.8593468370607914,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.1406531629392086,False
0.184,111-46-6,True,{},0.008197740319604074,0.9719284472826843,0.8403931301791397,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.15960686982086025,False
0.203333333333,111-46-6,True,{},0.008994170797049672,0.969335516008024,0.8214481928395598,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.17855180716044017,False
0.222666666667,111-46-6,True,{},0.00976050608473844,0.966805922567216,0.8025123412002613,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.19748765879973873,False
0.242,111-46-6,True,{},0.010495923828533149,0.9643367329067194,0.7835859052337828,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.2164140947662172,False
0.261333333333,111-46-6,True,{},0.011199562636931448,0.9619241663659881,0.7646692293083409,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.23533077069165909,False
0.280666666667,111-46-6,True,{},0.011870519495280285,0.9595634470841878,0.7457626727813594,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.25423732721864056,False
0.3,111-46-6,True,{},0.012507846966917202,0.9572486295681935,0.7268666105911076,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,101325.0,0.2731333894088924,False
0.0001,111-46-6,True,{},5.690723710372048e-06,0.999983068911487,0.9999306397843613,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,6.936021563874739e-05,False
0.000133352143216,111-46-6,True,{},7.5885634134298385e-06,0.9999774224244508,0.9999075067036665,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,9.249329633354009e-05,False
0.000177827941004,111-46-6,True,{},1.0119265440255987e-05,0.9999698930195151,0.9998766582741577,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.0001233417258422742,False
0.000237137370566,111-46-6,True,{},1.3493818959764425e-05,0.999959852941798,0.9998355212845288,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.00016447871547120574,False
0.000316227766017,111-46-6,True,{},1.799351717657327e-05,0.9999464652524342,0.9997806643201617,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.00021933567983833946,False
0.000421696503429,111-46-6,True,{},2.399335433589389e-05,0.9999286142058076,0.9997075115478029,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.00029248845219709274,False
0.00056234132519,111-46-6,True,{},3.1993186492162984e-05,0.9999048125186739,0.9996099610520951,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.0003900389479049027,False
0.000749894209332,111-46-6,True,{},4.2659214536611145e-05,0.9998730779118129,0.9994798758983872,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.00052012410161284,False
0.001,111-46-6,True,{},5.6879177206203835e-05,0.9998307688319272,0.9993064054883195,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.0006935945116804954,False
0.00133352143216,111-46-6,True,{},7.583572877289946e-05,0.999774366017224,0.9990750806338976,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.0009249193661023947,False
0.00177827941004,111-46-6,True,{},0.00010110389207296233,0.9996991823386349,0.9987666069279219,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.0012333930720781483,False
0.00237137370566,111-46-6,True,{},0.000134780305860005,0.9995989778752952,0.9983552558711761,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.0016447441288238718,False
0.00316227766017,111-46-6,True,{},0.00017965431659805464,0.9994654501859953,0.9978067197511833,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.002193280248816709,False
0.0056234132519,111-46-6,True,{},0.00031904279868766316,0.9990506493693887,0.9960998529617503,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.0039001470382497017,False
0.01,111-46-6,True,{},0.0005659750826827459,0.9983156802492067,0.9930648236356163,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.006935176364383677,False
0.0293333333333,111-46-6,True,{},0.003344853659505098,0.9951100351014633,0.9758478869315813,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.02415211306841869,False
0.0486666666667,111-46-6,True,{},0.007910176704170824,0.991971945770564,0.951088594264457,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.04891140573554298,False
0.068,111-46-6,True,{},0.01245082592132618,0.9889021273913786,0.9263362002099014,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.07366379979009863,False
0.0873333333333,111-46-6,True,{},0.016966225270296564,0.9859011097920255,0.9015909376043538,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.09840906239564617,False
0.106666666667,111-46-6,True,{},0.02145576605095345,0.9829692008988954,0.8768530511995722,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.12314694880042776,False
0.126,111-46-6,True,{},0.025918815652794303,0.9801064440781301,0.8521227964536541,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.14787720354634593,False
0.145333333333,111-46-6,True,{},0.030354714372645697,0.9773125683923478,0.8274004399174627,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.1725995600825373,False
0.164666666667,111-46-6,True,{},0.03476277378901449,0.9745869305720796,0.8026862597328221,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.19731374026717785,False
0.184,111-46-6,True,{},0.03914227500339451,0.9719284472826843,0.7779805461616792,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.22201945383832078,False
0.203333333333,111-46-6,True,{},0.04349246673793372,0.969335516008024,0.75328360212987,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.24671639787013,False
0.222666666667,111-46-6,True,{},0.047812563283840315,0.966805922567216,0.7285957437960214,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.27140425620397857,False
0.242,111-46-6,True,{},0.05210174228658393,0.9643367329067194,0.7039173011335463,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.29608269886645366,False
0.261333333333,111-46-6,True,{},0.0563592682358951,0.9619241663659881,0.6792484926294711,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.32075150737052893,False
0.280666666667,111-46-6,True,{},0.06058399651016555,0.9595634470841878,0.6545899192482452,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.34541008075175483,False
0.3,111-46-6,True,{},0.06477509526148395,0.9572486295681935,0.6299418403396793,diethylene glycol,400.0,water-MTHSVFCYNBDYFN-UHFFFAOYSA-N,True,200000.0,0.37005815966032074,False
